file,recipe_name,source_line,parsed_name,quantity_for_10,upload_quantity_1_serving,upload_unit,item_code,mapped_ingredient_name,match_status
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,"2 bunches water spinach (kangkong), washed and trimmed",water spinach washed trimmed,200,20,g,PR000061,SPINACH (BDL),mapped
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,"5 to 6 tablespoons fish sauce (patis), plus more to taste",fish sauce plus more,0.0825,0.0083,l,273104,A-AFFCO FISH SAUCE 12/700ML,mapped
Sinigang soup Philippines recipe 10 persons.docx,Sinigang soup Philippines,¼ teaspoon ground black pepper,black pepper,0.675,0.07,g,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,mapped
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,1 kg (about 2.2 lbs) bone-in chicken breast or thighs (bones add deep flavor to the broth),Chicken,1000,100,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,3 to 4 cups uncooked elbow macaroni,Macaroni,840,84,g,262511,TAFGA GOODY MACARONI ELBOW #33 24/500G,mapped
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,4 tbsp butter or cooking oil,butter cooking oil,0.06,0.006,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,"2 medium onions, diced",onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,"8 cloves garlic, minced",garlic,24,2.4,g,PR000018,GARLIC (CHINA),mapped
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,"1 ½ cups carrots, diced",carrots,120,12,g,PR000026,CARROT (AUSTALIA/CHINA),mapped
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,"1 ½ cups celery, chopped",celery,120,12,g,PHMIS-003,celery,generated_missing
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,"3 to 4 cups green cabbage, shredded",green cabbage shredded,840,84,g,PR000002,CABBAGE (LOCAL),mapped
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,"8 to 10 red regular hot dogs or beef franks, sliced diagonally (classic Filipino style)",red hot dogs beef franks diagonally,405,40.5,g,182833,A-TAFGA AMERICANA CHICKEN FRANK 24/340G,mapped
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,12 to 14 cups water (or chicken broth) plus 3 chicken bouillon cubes,Liquid & Broth,3.12,0.312,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Sopas Pilippines recipe 10 persons.docx,Sopas Pilippines,3 cans (approx. 12 oz or 370ml each) evaporated milk,Dairy,0.465,0.0465,l,118807,NADA UHT MILK FF 18/200ML,fuzzy
Tinola soup Philippines recipe 10 persons.docx,Tinola soup Philippines,"2.2 kg (4.5–5 lbs) bone-in chicken parts (legs, thighs, or breasts cut into serving size)",Chicken,2200,220,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Tinola soup Philippines recipe 10 persons.docx,Tinola soup Philippines,"3 large thumbs, peeled and sliced or julienned",Ginger (Luya),60,6,g,PR000019,GINGER (CHINA),mapped
Tinola soup Philippines recipe 10 persons.docx,Tinola soup Philippines,"8 cloves, minced or crushed",Garlic,24,2.4,g,PR000018,GARLIC (CHINA),mapped
Tinola soup Philippines recipe 10 persons.docx,Tinola soup Philippines,"2 medium, sliced",Onion,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Tinola soup Philippines recipe 10 persons.docx,Tinola soup Philippines,5 tablespoons,Fish Sauce (Patis),0.075,0.0075,l,273104,A-AFFCO FISH SAUCE 12/700ML,mapped
Tinola soup Philippines recipe 10 persons.docx,Tinola soup Philippines,5 tablespoons,Cooking Oil,0.075,0.0075,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Tinola soup Philippines recipe 10 persons.docx,Tinola soup Philippines,12 cups (add more if you prefer a larger soup yield),Water,2.88,0.288,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Tinola soup Philippines recipe 10 persons.docx,Tinola soup Philippines,"2 pieces (optional, for extra depth)",Chicken Bouillon Cubes,40,4,g,102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,mapped
Tinola soup Philippines recipe 10 persons.docx,Tinola soup Philippines,"2 medium, peeled and cut into wedges",Green Papaya or Chayote (Sayote),900,90,g,PHMIS-018,Green Papaya or Chayote (Sayote),generated_missing
Tinola soup Philippines recipe 10 persons.docx,Tinola soup Philippines,2 cups of malunggay (moringa) leaves or chili leaves (spinach works too),malunggay leaves chili leaves,480,48,g,PR000061,SPINACH (BDL),mapped
Tuna Philippines recipe 10 persons.docx,Tuna Philippines,600g spaghetti pasta,spaghetti pasta,600,60,g,386762,GOODY PASTA #20 SPAGHETTI 24/450,mapped
Tuna Philippines recipe 10 persons.docx,Tuna Philippines,"4 cans (180g each) tuna flakes in vegetable oil, well drained (doubled from the base recipe)",tuna flakes in vegetable oil well drained,720,72,g,267650,MAWASIM/GOLDEN LT MEAT TUNA 48/160G,mapped
Tuna Philippines recipe 10 persons.docx,Tuna Philippines,¼ cup butter or oil from the tuna,butter oil from tuna,0.06,0.006,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Tuna Philippines recipe 10 persons.docx,Tuna Philippines,4 Tbsp minced garlic,garlic,60,6,g,PR000018,GARLIC (CHINA),mapped
Tuna Philippines recipe 10 persons.docx,Tuna Philippines,"2 medium yellow onions, minced",yellow onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Tuna Philippines recipe 10 persons.docx,Tuna Philippines,2 cans (284ml each) cream of mushroom (or substitute with a large can of evaporated milk),cream mushroom,0.568,0.0568,l,342384,TAFGA MARAI COOKING CREAM 12/1LTR,mapped
Tuna Philippines recipe 10 persons.docx,Tuna Philippines,2 tetra packs (250ml each) all-purpose cream,tetra all-purpose cream,0.5,0.05,l,342384,TAFGA MARAI COOKING CREAM 12/1LTR,mapped
Tuna Philippines recipe 10 persons.docx,Tuna Philippines,"400g cheese, grated (any quick-melt or cheddar brand)",cheese grated,400,40,g,171301,TAFGA SLICED CHEESE 9/800G,mapped
Tuna Philippines recipe 10 persons.docx,Tuna Philippines,2 cups reserved water from boiled pasta,reserved water from boiled pasta,0.48,0.048,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Tuna Philippines recipe 10 persons.docx,Tuna Philippines,1 tsp white sugar,white sugar,4.2,0.42,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
White hamour fry fish Philippines recipe 10 persons.docx,White hamour fry fish Philippines,2.5 kg (about 250g per person),White Hamour Fillets or Steaks,2500,250,g,144669,TAFGA WHITE / HAMOUR FISH FILLET 1/1KG,mapped
White hamour fry fish Philippines recipe 10 persons.docx,White hamour fry fish Philippines,5 tablespoons (about 10-12 calamansi),Calamansi or Lime Juice,75,7.5,g,PR000090,LEMON (AFRICAN/TURKEY),mapped
White hamour fry fish Philippines recipe 10 persons.docx,White hamour fry fish Philippines,"2 whole bulbs, minced (divided: half for marinating, half for frying crisp)",Garlic,6,0.6,g,PR000018,GARLIC (CHINA),mapped
White hamour fry fish Philippines recipe 10 persons.docx,White hamour fry fish Philippines,2.5 teaspoons,Salt,15,1.5,g,166780,TAFGA REHAN SALT IODIZED 24/700G,mapped
White hamour fry fish Philippines recipe 10 persons.docx,White hamour fry fish Philippines,1.5 teaspoons,Ground Black Pepper,4.05,0.4,g,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,mapped
White hamour fry fish Philippines recipe 10 persons.docx,White hamour fry fish Philippines,1 cup (for light dredging and extra crunch),All-Purpose Flour or Cornstarch,125,12.5,g,139554,A-AL AMC CORN STARCH 1/25KG,mapped
White hamour fry fish Philippines recipe 10 persons.docx,White hamour fry fish Philippines,3 to 4 cups (for deep or shallow frying),Cooking Oil,0.84,0.084,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
